edge,count,name,shape,edge_length,cycle_roads,main_roads,small_roads,school_distance
"(5424621821, 530090)",337,Große Langgasse,"{""type"":""LineString"",""coordinates"":[[8.2694261,49.9983365],[8.2693591,49.9984015],[8.2693457,49.9984116],[8.2693127,49.9984366],[8.2692943,49.9984505],[8.2691087,49.998591],[8.2690498,49.9986356]]}",0.043,0,1,0,0.115
"(769116667, 5424621821)",335,,"{""type"":""LineString"",""coordinates"":[[8.2704223,49.9977527],[8.2703484,49.9977804],[8.2698911,49.9979718],[8.2698193,49.998015],[8.2697447,49.9981167],[8.2696434,49.9982757],[8.2694261,49.9983365]]}",0.101,1,0,0,0.073
"(529447, 664463079)",330,Salvatorstraße,"{""type"":""LineString"",""coordinates"":[[8.2782631,49.9924173],[8.2781952,49.9919228],[8.278186,49.9917965],[8.278204,49.9913662],[8.2782341,49.9911513],[8.2783621,49.9908096]]}",0.18,0,1,0,0.824
"(27638496, 1635811702)",330,Große Bleiche,"{""type"":""LineString"",""coordinates"":[[8.2694082,50.0047084],[8.2695495,50.004825],[8.2701313,50.0053051]]}",0.084,0,1,0,0.314
"(1836665468, 305066638)",315,"['Alicenplatz', 'Binger Straße']","{""type"":""LineString"",""coordinates"":[[8.2592485,49.9996033],[8.2597204,49.999788],[8.2602847,50.0000109],[8.2604272,50.0000672],[8.2604615,50.0000797],[8.2605623,50.0001205],[8.2606829,50.0001757]]}",0.121,0,1,0,0.715
"(27612102, 1413508445)",313,Kaiserstraße,"{""type"":""LineString"",""coordinates"":[[8.2614714,50.0028266],[8.261137,50.0024855],[8.2611146,50.0024577],[8.2610874,50.0024061],[8.2610744,50.0023489]]}",0.061,0,1,0,0.83
"(8222776099, 8640116599)",313,Alte Mainzer Straße,"{""type"":""LineString"",""coordinates"":[[8.2809843,49.9756019],[8.2810037,49.975378],[8.2810064,49.9753469],[8.2810502,49.9749003],[8.2811097,49.974485],[8.281129,49.974364],[8.2812089,49.9738709],[8.281271,49.97349]]}",0.236,0,1,0,1.092
"(30696491, 30692380)",312,Hindenburgstraße,"{""type"":""LineString"",""coordinates"":[[8.262083,50.0071274],[8.2632319,50.0065953]]}",0.101,0,0,1,0.487
"(2146238201, 4728576279)",310,Holzhofstraße,"{""type"":""LineString"",""coordinates"":[[8.278479,49.9938921],[8.2783226,49.9939062],[8.2782321,49.9939164],[8.2781475,49.9939343],[8.2779542,49.993978],[8.277774,49.9940256],[8.2776639,49.9940621],[8.2775574,49.9941032]]}",0.071,0,1,0,0.67
"(1975206387, 30896943)",310,Fritz-Kohl-Straße,"{""type"":""LineString"",""coordinates"":[[8.2541847,50.00373],[8.2546632,50.0036499],[8.2547842,50.0036334],[8.2548903,50.0036187],[8.2549893,50.0035994]]}",0.059,0,0,1,0.42
"(30696492, 27716008)",308,Hindenburgstraße,"{""type"":""LineString"",""coordinates"":[[8.2609396,50.0076557],[8.2595102,50.0083161],[8.2594382,50.0083494]]}",0.132,0,0,1,0.619
